subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
621	25	35	0	10	1
621	170	30	0	29	0
621	76	25	0	21	1
621	15	30	0	26	0
621	126	30	0	20	1
621	61	35	0	33	1
621	158	25	0	20	1
621	7	30	0	14	1
621	6	35	0	14	0
621	12	35	0	12	0
621	22	35	0	26	0
621	168	35	0	17	0
621	14	25	0	16	0
621	160	35	0	34	0
621	112	25	0	24	0
621	11	25	0	12	0
621	145	25	0	23	1
621	119	35	0	16	1
621	8	30	0	25	0
621	37	25	0	13	1
621	111	30	0	27	0
621	43	35	0	13	1
621	152	35	0	33	0
621	47	35	0	34	0
621	110	35	0	34	0
621	58	25	0	13	0
621	45	30	0	28	0
621	2	25	0	19	0
621	35	35	0	11	1
621	41	35	0	30	1
621	81	35	0	31	0
621	109	30	0	11	0
621	1	25	0	20	0
621	4	30	0	15	0
621	159	35	0	25	0
621	113	30	0	28	1
621	106	30	0	18	0
621	9	30	0	22	0
621	3	30	0	23	1
621	87	30	0	29	0
621	48	25	0	17	1
621	99	35	0	10	1
621	98	25	0	18	0
621	173	25	0	24	1
621	16	30	0	15	1
621	180	25	0	24	0
621	5	25	0	19	1
621	130	30	0	29	0
621	44	30	0	27	0
621	136	25	0	22	1
621	30	25	0	21	0
