subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
435	58	25	now	13	0
435	43	35	now	13	0
435	99	35	now	10	0
435	14	25	now	16	0
435	110	35	now	34	0
435	152	35	now	33	0
435	30	25	now	21	0
435	130	30	now	29	1
435	4	30	now	15	0
435	170	30	now	29	0
435	47	35	now	34	1
435	16	30	now	15	0
435	168	35	now	17	0
435	2	25	now	19	0
435	3	30	now	23	0
435	126	30	now	20	0
435	76	25	now	21	1
435	112	25	now	24	0
435	111	30	now	27	1
435	15	30	now	26	1
435	145	25	now	23	1
435	44	30	now	27	1
435	119	35	now	16	0
435	87	30	now	29	1
435	7	30	now	14	0
435	109	30	now	11	0
435	9	30	now	22	0
435	37	25	now	13	0
435	35	35	now	11	0
435	5	25	now	19	0
435	45	30	now	28	0
435	106	30	now	18	0
435	173	25	now	24	1
435	81	35	now	31	1
435	159	35	now	25	0
435	160	35	now	34	0
435	136	25	now	22	1
435	113	30	now	28	1
435	6	35	now	14	0
435	98	25	now	18	0
435	158	25	now	20	1
435	180	25	now	24	0
435	8	30	now	25	0
435	11	25	now	12	0
435	22	35	now	26	0
435	41	35	now	30	0
435	25	35	now	10	0
435	1	25	now	20	0
435	61	35	now	33	1
435	48	25	now	17	0
435	12	35	now	12	0
