subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
678	119	35	now	16	0
678	87	30	now	29	0
678	4	30	now	15	0
678	160	35	now	34	1
678	44	30	now	27	0
678	43	35	now	13	0
678	3	30	now	23	0
678	25	35	now	10	0
678	159	35	now	25	1
678	37	25	now	13	0
678	130	30	now	29	0
678	16	30	now	15	0
678	35	35	now	11	0
678	7	30	now	14	0
678	48	25	now	17	0
678	9	30	now	22	0
678	170	30	now	29	1
678	11	25	now	12	0
678	2	25	now	19	0
678	15	30	now	26	1
678	98	25	now	18	0
678	5	25	now	19	0
678	45	30	now	28	1
678	112	25	now	24	0
678	30	25	now	21	0
678	81	35	now	31	0
678	113	30	now	28	1
678	47	35	now	34	1
678	58	25	now	13	1
678	180	25	now	24	1
678	61	35	now	33	1
678	8	30	now	25	0
678	22	35	now	26	1
678	136	25	now	22	1
678	12	35	now	12	0
678	126	30	now	20	1
678	168	35	now	17	0
678	106	30	now	18	0
678	14	25	now	16	1
678	158	25	now	20	1
678	76	25	now	21	0
678	110	35	now	34	0
678	152	35	now	33	0
678	111	30	now	27	0
678	145	25	now	23	0
678	41	35	now	30	0
678	109	30	now	11	0
678	173	25	now	24	0
678	99	35	now	10	0
678	6	35	now	14	0
678	1	25	now	20	0
