subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
346	41	35	0	30	1
346	173	25	0	24	1
346	111	30	0	27	1
346	119	35	0	16	1
346	16	30	0	15	1
346	126	30	0	20	1
346	37	25	0	13	1
346	98	25	0	18	1
346	109	30	0	11	1
346	30	25	0	21	1
346	11	25	0	12	1
346	87	30	0	29	1
346	4	30	0	15	1
346	12	35	0	12	1
346	14	25	0	16	1
346	168	35	0	17	1
346	99	35	0	10	1
346	2	25	0	19	1
346	7	30	0	14	1
346	160	35	0	34	1
346	1	25	0	20	1
346	130	30	0	29	1
346	180	25	0	24	1
346	48	25	0	17	1
346	112	25	0	24	1
346	58	25	0	13	1
346	35	35	0	11	1
379	168	35	0	17	1
379	22	35	0	26	1
379	8	30	0	25	1
379	14	25	0	16	1
379	170	30	0	29	0
379	47	35	0	34	1
379	76	25	0	21	1
379	7	30	0	14	1
379	5	25	0	19	1
379	106	30	0	18	1
379	11	25	0	12	1
379	152	35	0	33	0
379	4	30	0	15	1
379	37	25	0	13	1
379	81	35	0	31	1
379	173	25	0	24	0
379	9	30	0	22	1
379	15	30	0	26	1
379	30	25	0	21	1
379	110	35	0	34	1
379	2	25	0	19	1
379	1	25	0	20	1
379	25	35	0	10	1
379	99	35	0	10	1
379	44	30	0	27	1
379	145	25	0	23	0
379	113	30	0	28	0
379	158	25	0	20	1
379	41	35	0	30	1
379	61	35	0	33	1
379	109	30	0	11	1
379	87	30	0	29	1
379	6	35	0	14	1
379	180	25	0	24	0
379	48	25	0	17	1
379	111	30	0	27	1
379	160	35	0	34	0
379	119	35	0	16	1
379	35	35	0	11	1
379	12	35	0	12	1
379	43	35	0	13	1
379	98	25	0	18	1
379	16	30	0	15	1
379	3	30	0	23	1
379	130	30	0	29	1
379	159	35	0	25	1
379	136	25	0	22	1
379	58	25	0	13	1
4800	112	25	0	24	0
4800	3	30	0	23	1
4800	16	30	0	15	1
4800	7	30	0	14	1
4800	160	35	0	34	0
4800	110	35	0	34	0
4800	48	25	0	17	1
4800	9	30	0	22	1
4800	81	35	0	31	0
4800	173	25	0	24	1
4800	170	30	0	29	0
4800	126	30	0	20	1
4800	130	30	0	29	0
4800	25	35	0	10	1
4800	58	25	0	13	1
4800	180	25	0	24	1
4800	5	25	0	19	1
4800	14	25	0	16	1
4800	87	30	0	29	0
4800	98	25	0	18	1
4800	145	25	0	23	1
4800	30	25	0	21	1
4800	8	30	0	25	1
4800	111	30	0	27	0
4800	113	30	0	28	0
4800	152	35	0	33	0
4800	2	25	0	19	1
4800	35	35	0	11	1
4800	45	30	0	28	0
4800	15	30	0	26	1
4800	109	30	0	11	1
4800	6	35	0	14	1
4800	4	30	0	15	1
4800	106	30	0	18	1
4800	22	35	0	26	1
4800	12	35	0	12	1
4800	11	25	0	12	1
4800	99	35	0	10	1
4800	1	25	0	20	1
4800	136	25	0	22	0
4800	119	35	0	16	1
4800	44	30	0	27	1
4800	158	25	0	20	0
4800	168	35	0	17	1
4800	61	35	0	33	0
4800	37	25	0	13	1
4800	41	35	0	30	0
4800	76	25	0	21	1
4800	159	35	0	25	1
4800	47	35	0	34	1
692	99	35	0	10	1
692	160	35	0	34	1
692	44	30	0	27	0
692	1	25	0	20	1
692	8	30	0	25	0
692	158	25	0	20	1
692	109	30	0	11	1
692	7	30	0	14	1
692	3	30	0	23	1
692	6	35	0	14	1
692	112	25	0	24	0
692	81	35	0	31	0
692	173	25	0	24	0
692	145	25	0	23	0
692	37	25	0	13	0
692	106	30	0	18	0
692	15	30	0	26	1
692	58	25	0	13	0
692	45	30	0	28	0
692	159	35	0	25	1
692	41	35	0	30	0
692	111	30	0	27	0
692	119	35	0	16	1
692	9	30	0	22	1
692	12	35	0	12	1
692	130	30	0	29	1
692	16	30	0	15	1
692	168	35	0	17	0
692	4	30	0	15	1
692	43	35	0	13	1
692	61	35	0	33	1
692	136	25	0	22	1
692	126	30	0	20	0
692	30	25	0	21	1
692	47	35	0	34	1
692	76	25	0	21	1
692	2	25	0	19	1
692	14	25	0	16	1
692	110	35	0	34	1
692	25	35	0	10	1
692	48	25	0	17	0
692	98	25	0	18	0
692	113	30	0	28	0
692	22	35	0	26	1
692	5	25	0	19	1
692	170	30	0	29	0
692	180	25	0	24	1
692	35	35	0	11	0
692	152	35	0	33	0
692	11	25	0	12	1
739	170	30	0	29	1
739	106	30	0	18	0
739	6	35	0	14	1
739	152	35	0	33	1
739	113	30	0	28	1
739	159	35	0	25	0
739	87	30	0	29	0
739	58	25	0	13	1
739	111	30	0	27	0
739	16	30	0	15	1
739	168	35	0	17	1
739	1	25	0	20	1
739	30	25	0	21	1
739	130	30	0	29	0
739	44	30	0	27	0
739	25	35	0	10	1
739	173	25	0	24	1
739	112	25	0	24	0
739	145	25	0	23	1
739	109	30	0	11	1
739	158	25	0	20	1
739	11	25	0	12	1
739	61	35	0	33	1
739	8	30	0	25	1
739	47	35	0	34	0
739	9	30	0	22	1
739	43	35	0	13	1
739	81	35	0	31	1
739	14	25	0	16	1
739	48	25	0	17	1
739	180	25	0	24	0
739	7	30	0	14	1
739	3	30	0	23	1
739	12	35	0	12	1
739	76	25	0	21	0
739	37	25	0	13	1
739	41	35	0	30	1
739	110	35	0	34	1
739	99	35	0	10	1
739	15	30	0	26	1
739	126	30	0	20	0
739	35	35	0	11	1
739	119	35	0	16	1
739	2	25	0	19	1
739	45	30	0	28	1
739	98	25	0	18	1
739	22	35	0	26	1
739	5	25	0	19	1
739	160	35	0	34	0
739	136	25	0	22	0
503	8	30	0	25	1
503	126	30	0	20	1
503	136	25	0	22	0
503	12	35	0	12	1
503	112	25	0	24	1
503	14	25	0	16	1
503	152	35	0	33	0
503	15	30	0	26	1
503	25	35	0	10	1
503	98	25	0	18	1
503	110	35	0	34	0
503	180	25	0	24	1
503	76	25	0	21	1
503	9	30	0	22	1
503	81	35	0	31	1
