subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
542	37	25	0	13	1
542	41	35	0	30	1
542	99	35	0	10	0
542	61	35	0	33	0
542	158	25	0	20	0
542	3	30	0	23	0
542	16	30	0	15	1
542	136	25	0	22	0
542	112	25	0	24	0
542	2	25	0	19	1
542	14	25	0	16	1
542	35	35	0	11	1
542	25	35	0	10	1
542	160	35	0	34	1
542	170	30	0	29	1
542	48	25	0	17	0
542	22	35	0	26	0
542	109	30	0	11	0
542	126	30	0	20	0
542	87	30	0	29	1
542	44	30	0	27	1
542	130	30	0	29	0
542	152	35	0	33	1
542	30	25	0	21	0
542	8	30	0	25	1
542	1	25	0	20	1
542	7	30	0	14	1
542	43	35	0	13	1
542	168	35	0	17	0
542	12	35	0	12	1
542	4	30	0	15	1
542	15	30	0	26	0
542	173	25	0	24	1
542	58	25	0	13	0
542	6	35	0	14	1
542	11	25	0	12	1
542	145	25	0	23	1
542	180	25	0	24	0
542	9	30	0	22	1
542	113	30	0	28	0
542	81	35	0	31	1
542	106	30	0	18	0
542	110	35	0	34	1
542	5	25	0	19	1
542	47	35	0	34	1
542	119	35	0	16	0
