subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
439	106	30	0	18	0
439	99	35	0	10	1
439	12	35	0	12	1
439	22	35	0	26	0
439	76	25	0	21	1
439	152	35	0	33	0
439	158	25	0	20	1
439	126	30	0	20	0
439	111	30	0	27	1
439	113	30	0	28	0
439	37	25	0	13	1
439	9	30	0	22	1
439	16	30	0	15	1
439	110	35	0	34	1
439	87	30	0	29	1
439	160	35	0	34	1
439	81	35	0	31	0
439	109	30	0	11	0
439	180	25	0	24	0
439	112	25	0	24	1
439	45	30	0	28	1
439	30	25	0	21	0
439	119	35	0	16	1
439	173	25	0	24	0
439	5	25	0	19	1
439	35	35	0	11	1
439	25	35	0	10	1
439	6	35	0	14	1
439	15	30	0	26	1
439	48	25	0	17	1
439	136	25	0	22	0
439	7	30	0	14	1
439	1	25	0	20	1
439	130	30	0	29	1
439	3	30	0	23	1
439	98	25	0	18	1
439	159	35	0	25	1
439	41	35	0	30	1
439	61	35	0	33	1
439	2	25	0	19	1
439	4	30	0	15	1
439	58	25	0	13	0
439	14	25	0	16	1
439	47	35	0	34	0
439	168	35	0	17	1
439	11	25	0	12	1
439	44	30	0	27	0
439	170	30	0	29	0
439	8	30	0	25	1
439	43	35	0	13	1
