subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
593	4	30	0	15	0
593	61	35	0	33	0
593	30	25	0	21	0
593	47	35	0	34	0
593	113	30	0	28	1
593	98	25	0	18	0
593	106	30	0	18	0
593	168	35	0	17	1
593	58	25	0	13	0
593	41	35	0	30	0
593	9	30	0	22	1
593	43	35	0	13	0
593	180	25	0	24	0
593	109	30	0	11	0
593	160	35	0	34	1
593	15	30	0	26	0
593	145	25	0	23	1
593	16	30	0	15	0
593	152	35	0	33	1
593	158	25	0	20	1
593	7	30	0	14	0
593	173	25	0	24	1
593	45	30	0	28	1
593	14	25	0	16	0
593	112	25	0	24	1
593	35	35	0	11	0
593	37	25	0	13	0
593	6	35	0	14	0
593	130	30	0	29	0
593	22	35	0	26	1
593	44	30	0	27	0
593	1	25	0	20	0
593	111	30	0	27	1
593	11	25	0	12	0
593	159	35	0	25	1
593	81	35	0	31	1
593	76	25	0	21	0
593	12	35	0	12	0
593	3	30	0	23	0
593	48	25	0	17	0
593	119	35	0	16	0
593	136	25	0	22	1
593	110	35	0	34	0
593	5	25	0	19	0
593	87	30	0	29	0
593	99	35	0	10	0
593	8	30	0	25	1
593	25	35	0	10	0
593	2	25	0	19	0
593	126	30	0	20	1
593	170	30	0	29	0
