subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
4803	43	35	now	13	0
4803	99	35	now	10	0
4803	170	30	now	29	1
4803	41	35	now	30	1
4803	58	25	now	13	0
4803	5	25	now	19	0
4803	1	25	now	20	0
4803	168	35	now	17	0
4803	136	25	now	22	1
4803	126	30	now	20	0
4803	106	30	now	18	0
4803	7	30	now	14	0
4803	44	30	now	27	0
4803	16	30	now	15	0
4803	45	30	now	28	0
4803	37	25	now	13	0
4803	87	30	now	29	1
4803	14	25	now	16	0
4803	113	30	now	28	0
4803	61	35	now	33	0
4803	173	25	now	24	0
4803	12	35	now	12	0
4803	3	30	now	23	0
4803	109	30	now	11	0
4803	152	35	now	33	0
4803	47	35	now	34	0
4803	160	35	now	34	0
4803	25	35	now	10	0
4803	180	25	now	24	1
4803	15	30	now	26	0
4803	98	25	now	18	0
4803	119	35	now	16	0
4803	130	30	now	29	0
4803	111	30	now	27	1
4803	112	25	now	24	1
4803	22	35	now	26	0
4803	76	25	now	21	1
4803	30	25	now	21	0
4803	158	25	now	20	0
4803	48	25	now	17	0
4803	8	30	now	25	0
4803	81	35	now	31	0
4803	9	30	now	22	0
4803	145	25	now	23	1
4803	110	35	now	34	1
4803	2	25	now	19	0
4803	11	25	now	12	0
4803	4	30	now	15	0
4803	6	35	now	14	0
4803	159	35	now	25	0
4803	35	35	now	11	0
