subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
422	113	30	now	28	0
422	35	35	now	11	0
422	30	25	now	21	0
422	41	35	now	30	1
422	87	30	now	29	0
422	16	30	now	15	0
422	43	35	now	13	0
422	136	25	now	22	0
422	8	30	now	25	1
422	48	25	now	17	1
422	126	30	now	20	1
422	111	30	now	27	0
422	170	30	now	29	0
422	2	25	now	19	0
422	1	25	now	20	0
422	45	30	now	28	1
422	81	35	now	31	0
422	160	35	now	34	0
422	119	35	now	16	0
422	44	30	now	27	0
422	145	25	now	23	0
422	14	25	now	16	0
422	158	25	now	20	1
422	9	30	now	22	0
422	159	35	now	25	0
422	47	35	now	34	1
422	3	30	now	23	0
422	152	35	now	33	0
422	99	35	now	10	1
422	130	30	now	29	0
422	106	30	now	18	0
422	58	25	now	13	1
422	15	30	now	26	1
422	12	35	now	12	0
422	5	25	now	19	0
422	110	35	now	34	0
422	37	25	now	13	1
422	112	25	now	24	0
422	180	25	now	24	0
422	6	35	now	14	0
422	168	35	now	17	1
422	22	35	now	26	1
422	109	30	now	11	0
422	25	35	now	10	0
422	4	30	now	15	0
422	7	30	now	14	0
422	76	25	now	21	1
422	98	25	now	18	0
422	61	35	now	33	1
422	11	25	now	12	0
422	173	25	now	24	1
