subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
589	6	35	now	14	1
589	58	25	now	13	1
589	43	35	now	13	0
589	180	25	now	24	0
589	11	25	now	12	1
589	87	30	now	29	1
589	170	30	now	29	1
589	168	35	now	17	1
589	110	35	now	34	1
589	106	30	now	18	1
589	45	30	now	28	0
589	12	35	now	12	0
589	8	30	now	25	1
589	47	35	now	34	1
589	126	30	now	20	1
589	7	30	now	14	0
589	119	35	now	16	1
589	9	30	now	22	1
589	98	25	now	18	0
589	111	30	now	27	0
589	61	35	now	33	1
589	44	30	now	27	0
589	48	25	now	17	0
589	25	35	now	10	0
589	152	35	now	33	0
589	81	35	now	31	0
589	173	25	now	24	1
589	3	30	now	23	0
589	35	35	now	11	0
589	14	25	now	16	0
589	145	25	now	23	1
589	5	25	now	19	1
589	16	30	now	15	1
589	130	30	now	29	1
589	136	25	now	22	1
589	158	25	now	20	0
589	37	25	now	13	0
589	2	25	now	19	0
589	41	35	now	30	0
589	1	25	now	20	0
589	15	30	now	26	1
589	4	30	now	15	0
589	76	25	now	21	0
589	160	35	now	34	0
589	22	35	now	26	0
589	30	25	now	21	0
589	113	30	now	28	1
589	99	35	now	10	1
589	159	35	now	25	1
589	112	25	now	24	1
589	109	30	now	11	0
