subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
667	180	25	0	24	1
667	43	35	0	13	0
667	173	25	0	24	0
667	81	35	0	31	0
667	48	25	0	17	1
667	106	30	0	18	1
667	37	25	0	13	0
667	159	35	0	25	0
667	47	35	0	34	1
667	25	35	0	10	0
667	5	25	0	19	0
667	110	35	0	34	0
667	44	30	0	27	1
667	11	25	0	12	0
667	168	35	0	17	0
667	45	30	0	28	0
667	152	35	0	33	0
667	16	30	0	15	0
667	61	35	0	33	0
667	6	35	0	14	0
667	41	35	0	30	1
667	126	30	0	20	0
667	2	25	0	19	0
667	98	25	0	18	1
667	4	30	0	15	0
667	87	30	0	29	0
667	145	25	0	23	1
667	119	35	0	16	1
667	158	25	0	20	0
667	9	30	0	22	0
667	113	30	0	28	1
667	130	30	0	29	1
667	160	35	0	34	0
667	58	25	0	13	1
667	22	35	0	26	0
667	7	30	0	14	0
667	35	35	0	11	0
667	1	25	0	20	0
667	15	30	0	26	0
667	3	30	0	23	0
667	30	25	0	21	0
667	111	30	0	27	1
667	14	25	0	16	0
667	99	35	0	10	1
667	12	35	0	12	0
667	136	25	0	22	0
667	76	25	0	21	0
667	109	30	0	11	0
667	112	25	0	24	0
667	170	30	0	29	0
667	8	30	0	25	0
