subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
601	22	35	0	26	1
601	98	25	0	18	0
601	37	25	0	13	1
601	111	30	0	27	1
601	25	35	0	10	0
601	109	30	0	11	1
601	2	25	0	19	0
601	15	30	0	26	0
601	48	25	0	17	1
601	99	35	0	10	0
601	5	25	0	19	1
601	159	35	0	25	0
601	112	25	0	24	1
601	87	30	0	29	0
601	113	30	0	28	1
601	168	35	0	17	1
601	47	35	0	34	1
601	35	35	0	11	0
601	110	35	0	34	0
601	158	25	0	20	1
601	1	25	0	20	0
601	119	35	0	16	0
601	173	25	0	24	1
601	9	30	0	22	0
601	41	35	0	30	0
601	14	25	0	16	1
601	43	35	0	13	1
601	180	25	0	24	0
601	81	35	0	31	1
601	4	30	0	15	0
601	136	25	0	22	0
601	11	25	0	12	1
601	6	35	0	14	0
601	45	30	0	28	1
601	8	30	0	25	1
601	126	30	0	20	1
601	44	30	0	27	1
601	160	35	0	34	1
601	76	25	0	21	1
601	12	35	0	12	0
601	145	25	0	23	1
601	61	35	0	33	0
601	152	35	0	33	1
601	106	30	0	18	1
601	30	25	0	21	0
601	130	30	0	29	1
601	16	30	0	15	0
601	3	30	0	23	1
601	58	25	0	13	1
601	170	30	0	29	1
601	7	30	0	14	1
