subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
4788	81	35	now	31	1
4788	2	25	now	19	0
4788	126	30	now	20	0
4788	1	25	now	20	0
4788	180	25	now	24	1
4788	136	25	now	22	1
4788	47	35	now	34	0
4788	119	35	now	16	0
4788	16	30	now	15	0
4788	15	30	now	26	0
4788	112	25	now	24	0
4788	7	30	now	14	0
4788	145	25	now	23	0
4788	87	30	now	29	0
4788	76	25	now	21	0
4788	3	30	now	23	0
4788	25	35	now	10	0
4788	111	30	now	27	0
4788	14	25	now	16	0
4788	9	30	now	22	0
4788	110	35	now	34	0
4788	160	35	now	34	1
4788	152	35	now	33	1
4788	11	25	now	12	0
4788	170	30	now	29	0
4788	173	25	now	24	0
4788	61	35	now	33	1
4788	6	35	now	14	0
4788	168	35	now	17	0
4788	4	30	now	15	0
4788	159	35	now	25	0
4788	44	30	now	27	0
4788	158	25	now	20	0
4788	109	30	now	11	0
4788	98	25	now	18	0
4788	58	25	now	13	0
4788	130	30	now	29	0
4788	8	30	now	25	0
4788	43	35	now	13	0
4788	41	35	now	30	0
4788	5	25	now	19	0
4788	99	35	now	10	0
4788	35	35	now	11	0
4788	22	35	now	26	0
4788	12	35	now	12	0
4788	37	25	now	13	0
4788	48	25	now	17	0
4788	113	30	now	28	0
4788	106	30	now	18	0
4788	30	25	now	21	0
4788	45	30	now	28	0
