subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
208	106	30	0	18	1
208	111	30	0	27	1
208	110	35	0	34	1
208	173	25	0	24	1
208	130	30	0	29	1
208	168	35	0	17	1
208	45	30	0	28	1
208	99	35	0	10	1
208	14	25	0	16	1
208	112	25	0	24	1
208	113	30	0	28	1
208	180	25	0	24	1
208	126	30	0	20	1
208	25	35	0	10	1
208	22	35	0	26	1
208	7	30	0	14	1
208	12	35	0	12	1
208	47	35	0	34	0
208	11	25	0	12	1
208	5	25	0	19	1
208	61	35	0	33	1
208	159	35	0	25	1
208	44	30	0	27	0
208	81	35	0	31	1
208	152	35	0	33	1
208	2	25	0	19	1
208	6	35	0	14	1
208	136	25	0	22	1
208	9	30	0	22	1
208	35	35	0	11	1
208	160	35	0	34	0
208	1	25	0	20	1
208	16	30	0	15	1
208	43	35	0	13	1
208	170	30	0	29	0
208	37	25	0	13	1
208	3	30	0	23	1
208	48	25	0	17	1
208	76	25	0	21	1
208	145	25	0	23	1
208	15	30	0	26	1
208	30	25	0	21	1
208	41	35	0	30	1
208	58	25	0	13	1
208	87	30	0	29	1
208	158	25	0	20	0
208	4	30	0	15	1
208	119	35	0	16	1
208	98	25	0	18	1
208	109	30	0	11	1
