subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
820	158	25	0	20	0
820	43	35	0	13	1
820	4	30	0	15	1
820	48	25	0	17	0
820	11	25	0	12	1
820	87	30	0	29	0
820	47	35	0	34	0
820	160	35	0	34	1
820	112	25	0	24	1
820	9	30	0	22	1
820	25	35	0	10	1
820	168	35	0	17	1
820	12	35	0	12	1
820	113	30	0	28	1
820	173	25	0	24	0
820	170	30	0	29	0
820	130	30	0	29	1
820	180	25	0	24	0
820	111	30	0	27	1
820	2	25	0	19	1
820	110	35	0	34	1
820	119	35	0	16	1
820	1	25	0	20	1
820	41	35	0	30	1
820	109	30	0	11	1
820	3	30	0	23	1
820	5	25	0	19	1
820	30	25	0	21	0
820	99	35	0	10	1
820	8	30	0	25	1
820	16	30	0	15	1
820	145	25	0	23	0
820	58	25	0	13	1
820	61	35	0	33	1
820	15	30	0	26	1
820	45	30	0	28	1
820	76	25	0	21	0
820	6	35	0	14	1
820	7	30	0	14	1
820	98	25	0	18	0
820	37	25	0	13	1
820	159	35	0	25	0
820	44	30	0	27	0
820	152	35	0	33	0
820	22	35	0	26	0
820	81	35	0	31	1
820	106	30	0	18	1
820	35	35	0	11	1
