subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
454	6	35	0	14	1
454	4	30	0	15	1
454	61	35	0	33	0
454	168	35	0	17	1
454	45	30	0	28	0
454	81	35	0	31	1
454	43	35	0	13	0
454	48	25	0	17	1
454	25	35	0	10	1
454	173	25	0	24	1
454	110	35	0	34	1
454	126	30	0	20	0
454	8	30	0	25	0
454	87	30	0	29	0
454	3	30	0	23	1
454	2	25	0	19	1
454	16	30	0	15	1
454	9	30	0	22	1
454	170	30	0	29	1
454	76	25	0	21	0
454	41	35	0	30	1
454	99	35	0	10	1
454	44	30	0	27	1
454	130	30	0	29	1
454	109	30	0	11	1
454	5	25	0	19	1
454	145	25	0	23	0
454	37	25	0	13	1
454	30	25	0	21	0
454	22	35	0	26	0
454	11	25	0	12	1
454	98	25	0	18	0
454	47	35	0	34	0
454	1	25	0	20	1
454	119	35	0	16	0
454	111	30	0	27	1
454	160	35	0	34	0
454	159	35	0	25	0
454	106	30	0	18	1
454	112	25	0	24	0
454	58	25	0	13	0
454	35	35	0	11	0
454	152	35	0	33	0
454	14	25	0	16	1
454	180	25	0	24	1
454	12	35	0	12	1
454	7	30	0	14	1
454	136	25	0	22	1
454	15	30	0	26	0
454	113	30	0	28	0
