subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
446	47	35	0	34	1
446	110	35	0	34	0
446	30	25	0	21	0
446	173	25	0	24	0
446	160	35	0	34	0
446	58	25	0	13	0
446	119	35	0	16	0
446	35	35	0	11	1
446	37	25	0	13	0
446	6	35	0	14	1
446	5	25	0	19	1
446	43	35	0	13	0
446	44	30	0	27	0
446	126	30	0	20	1
446	7	30	0	14	1
446	41	35	0	30	1
446	159	35	0	25	0
446	3	30	0	23	1
446	109	30	0	11	1
446	158	25	0	20	0
446	113	30	0	28	0
446	112	25	0	24	1
446	61	35	0	33	0
446	48	25	0	17	1
446	98	25	0	18	1
446	8	30	0	25	1
446	99	35	0	10	1
446	170	30	0	29	0
446	106	30	0	18	1
446	87	30	0	29	1
446	81	35	0	31	1
446	168	35	0	17	0
446	22	35	0	26	0
446	2	25	0	19	1
446	16	30	0	15	1
446	9	30	0	22	1
446	136	25	0	22	1
446	11	25	0	12	1
446	12	35	0	12	1
446	14	25	0	16	1
446	25	35	0	10	0
446	130	30	0	29	1
446	152	35	0	33	1
446	180	25	0	24	1
446	111	30	0	27	1
446	76	25	0	21	0
446	45	30	0	28	0
446	145	25	0	23	1
446	15	30	0	26	1
446	4	30	0	15	1
