subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
571	9	30	0	22	0
571	145	25	0	23	1
571	41	35	0	30	0
571	48	25	0	17	0
571	25	35	0	10	0
571	160	35	0	34	0
571	58	25	0	13	0
571	43	35	0	13	0
571	136	25	0	22	0
571	106	30	0	18	0
571	37	25	0	13	0
571	16	30	0	15	0
571	98	25	0	18	0
571	14	25	0	16	0
571	7	30	0	14	0
571	3	30	0	23	0
571	152	35	0	33	0
571	87	30	0	29	0
571	168	35	0	17	0
571	45	30	0	28	0
571	112	25	0	24	1
571	4	30	0	15	0
571	2	25	0	19	0
571	126	30	0	20	0
571	119	35	0	16	0
571	159	35	0	25	0
571	110	35	0	34	0
571	130	30	0	29	0
571	47	35	0	34	0
571	173	25	0	24	1
571	6	35	0	14	0
571	111	30	0	27	0
571	15	30	0	26	0
571	76	25	0	21	0
571	22	35	0	26	0
571	8	30	0	25	0
571	81	35	0	31	0
571	158	25	0	20	0
571	1	25	0	20	0
571	5	25	0	19	0
571	113	30	0	28	0
571	99	35	0	10	0
571	30	25	0	21	0
571	44	30	0	27	0
571	35	35	0	11	0
571	12	35	0	12	0
571	180	25	0	24	1
571	61	35	0	33	0
571	11	25	0	12	0
571	109	30	0	11	0
571	170	30	0	29	1
